Honey Baked Spiral Ham,"['▢ 6 to 8 lbs fully cooked spiral bone-in ham', 'Glaze:▢ 1/3 cup pineapple juice▢ 1/2 orange, juice of▢ 2 tsp dijon mustard▢ 1/4 cup honey▢ 1 tbsp brown sugar']",5,"['Preheat oven to 275F.Place the spiral ham in a roasting pan, cut side down. Cover tightly with foil to prevent the ham from drying out.Bake ham in oven at 275F 12-15 minutes per pound, depending on the size of your ham. (Approximately 2 hours)In a small sauce pan combine brown sugar, honey, orange juice, pineapple juice and dijon. Whisk well and simmer on low 8 to 10 minutes, stirring often until it reduces down and thickens into a glaze.Remove the ham from oven 15 minutes before the ham is ready and brush the glaze onto the ham.Finish cooking the ham uncovered for the last 15 minutes.']",American,Dinner
Crustless Quiche,"['▢ cooking spray▢ 1 3/4 cups diced ham, 9 oz total▢ 1 cup chopped steamed broccoli, fresh or frozen▢ 1 cup fresh grated cheese, I used Swiss, but you can use cheddar, gouda, feta, etc▢ 2/3 cup 2% milk▢ 1/4 cup half and half cream▢ 5 large  eggs▢ 1/2 teaspoon kosher salt▢ 1/8 teaspoon ground black pepper▢ pinch of nutmeg']",15,"['Preheat the to 350F degrees. Spray a pie dish or quiche with oil.Evenly spread the broccoli in the dish and top it evenly with the ham.Make the custard mixture by whisking together the milk, half and half, eggs, salt, black pepper, and the nutmeg.Pour the custard into the dish and top with Swiss Cheese.Bake 35 to 40 minutes, until the center is set.Cut the quiche into 6 pieces and serve.']",American,"Breakfast, Brunch, Lunch"
Spanish Tortilla with Pimenton Aioli,"['▢ 1 1/2 pounds Yukon gold potatoes, peeled [4 medium potatoes]▢ 1 1/2 teaspoon kosher salt▢ 6 to 8 tablespoons low-sodium chicken or vegetable broth▢ 1/2 large yellow onion, thinly sliced [ trimmed and peeled]▢ 6 large eggs▢ 1/4 teaspoon ground pepper▢ 2 tablespoons extra virgin olive oil', 'Pimenton Aioli▢ 1 small garlic clove or 1/2 large clove▢ 3 tablespoons mayonnaise▢ 2 teaspoons lemon juice▢ 1/4 teaspoon smoked paprika▢ 1/4 teaspoon kosher salt']",15,"['Bring a large pot of water to a boil. While you’re waiting, cut the potatoes into 1/8-inch thick slices.When the water boils, add 1 teaspoon salt and the potatoes and cook, stirring occasionally, until the potatoes are tender but not falling apart, 10 to 14 minutes.Drain the potatoes and let as much of the water drip off as possible.Meanwhile, put the broth and onions into an 8- or 9-inch non-stick skillet over medium-low heat.Cook the onions, stirring occasionally and turning down the heat if they start to brown, until they are very tender and the broth has all cooked off, 15 to 18 minutes adding more broth if needed.Remove onions (can put with potatoes). Wipe out the pan.Crack the eggs into a large bowl and beat. Season with the remaining 1/2 teaspoon salt and the pepper. Add the potatoes and onions and gently combine.Put the clean nonstick skillet over medium heat and coat the bottom with 1 tablespoon olive oil.Add the egg mixture and use a rubber spatula to press down the mixture and smooth out the top. Cook until the edges are set, then turn the heat down to medium-low. Continue cooking until the top is mostly set, 12 to 15 minutes total.Carefully run your spatula around and under the tortilla to make sure it’s not stuck anywhere, then flip the tortilla: Turn off the heat and cover the skillet with a larger plate. Protect your hands with towels or oven mitts, then grab the pan and the plate on two sides and flip.Remove the pan and your tortilla will now be on the plate! Don’t worry if there were a few spots that did stick, this will be the underside when you serve it anyway.Scrape any stuck parts off the pan and coat the bottom with the remaining 1 tablespoon olive oil.Slide the tortilla back in and tuck any pieces of potato that may have fallen out in the sides.Return the burner to medium-low, and cook until the center is no longer runny, 4 to 6 minutes.Transfer the tortilla to a plate and let cool for at least 20 minutes, if you can (it’s best at room temperature)!Make the aioli while you wait: Use a microplane grater to grate the garlic into a small bowl (or use a garlic press). Add the remaining ingredients and stir to combine. Refrigerate until ready to use.Slice into 6 servings and serve with a dollop of the aioli. ']",Spanish,"Appetizer, Breakfast, Brunch, Dinner, Lunch"
Pea Salad,"['▢ 1 pound frozen petite peas , or fresh shelled peas▢ Kosher salt, and fresh black pepper▢ 1/2 cup packed fresh dill sprigs, plus more for garnish▢ 1/3 cup packed fresh mint leaves▢ 1/4 cup non-fat Greek yogurt▢ 1 lemon▢ 2 teaspoons extra-virgin olive oil▢ 1/2 shallot, minced▢ 1/2 cup crumbled feta, for topping▢ 1 small  radish, thinly sliced for garnish']",10,"['Bring a medium pot of water to a boil and lightly salt it. Fill a large bowl with ice water.When the water boils, add the peas and blanch, stirring once or twice, until they are bright green, about 1 minute for frozen and 2 to 3 minutes for fresh.Immediately drain the peas and transfer them to the ice water. Let sit until cool, just a minute or two, then drain again.Measure 1/2 cup of the cooked peas and transfer to a blender or mini food processor. Add the dill, mint, yogurt, and a pinch of salt and a few cracks of\xa0fresh black pepper.Zest the entire lemon into the blender, then cut the lemon in half and squeeze in some of the juice from one half. Blend until smooth.\xa0Taste and add more lemon juice, salt, and/or pepper.Transfer the remaining drained peas to a serving bowl along with the shallot and drizzle with dressing to taste. Toss to coat the peas.Garnish with the\xa0feta, radishes, and more fresh herbs, and serve right away.']",American,"Salad, Side Dish"
Corned Beef Hash,"['▢ 1 tablespoon olive oil▢ 1 medium onion, finely chopped (about 1 cup)▢ 2 cups chopped cooked potatoes, preferably Yukon gold 1/2-inch dice▢ 1/2 cup finely chopped carrots▢ 1 cup finely diced green bell pepper▢ 1/2 teaspoon Kosher salt▢ 1/2 teaspoon garlic powder▢ 1/2 teaspoon sweet paprika▢ freshly ground black pepper▢ 2 cups finely chopped, cooked lean corned beef (9 oz)']",10,"['Heat oil in a large nonstick skillet on medium heat.Add the onion, bell pepper and carrots and cook 5 minutes, until the onions are translucent and the veggies are tender.Mix in the potatoes, season with salt, garlic powder, paprika and black pepper.Cover and cook until golden, stirring about 5 to 7 minutes.Add the corned beef and press down so it’s in a single layer and continue to cook uncovered until the bottom is nicely\xa0browned, stirring after a few minutes.Adjust salt to taste.Serve with fried or poached eggs for breakfast.']",American,"Breakfast, Brunch"
Fish Cakes,"['Roasted Red Pepper Sauce▢ 1/4 cup roasted peppers, jarred▢ 1 clove garlic▢ 1/2 teaspoon sweet paprika▢ 1/4 cup light mayonnaise', 'Fish Cakes▢ 1 pound fish fillets, such as flounder, tilapia, cod, halibut, salmon or use canned crab▢ 1 1/4 cup seasoned panko, gluten-free, divided* (or matzo meal for passover)▢ 1/4 cup minced celery▢ 2 tablespoons light mayo▢ 1/2 tablespoon Dijon mustard▢ 1 1/2 tablespoons lemon juice▢ 2 large  eggs, divided▢ 1/4 cup finely chopped parsley▢ 3 scallions, green tops minced plus more for garnish▢ 1 teaspoon Old Bay seasoning▢ 1/4 teaspoon kosher salt▢ black pepper, to taste▢ olive oil spray▢ lemon wedges, for serving']",5,"['Puree the roasted peppers, garlic and paprika in a mini blender and combine with the mayo, set aside.', 'Air Fryer Method:Place the fish in the air fryer basket and cook 400F 6 minutes until cooked though and easily flakes with a fork. Transfer to a large bowl, let cool and flake into small pieces. Wipe basket clean.Add fish to a large bowl with 1/2 cup panko, celery, mayo, dijon, lemon juice, 1 of the eggs, parsley, scallion, Old Bay, salt and black pepper. Stir well until combined.Divide into 8 portions, about 1/4 cup each and form into patties. If they fall apart add a little more panko.Place the remaining egg in a bowl and whisk. Gently dip the patties in the egg, then coat with the remaining panko and pat off any excess. Spray both sides with olive oil.Air fry the patties in an even layer 400F 8 minutes turning halfway, in batches as needed until golden brown and crisp. Serve with lemon wedges and red pepper sauce.', 'Oven Method:Bake the fish in a pre-heated 425F oven in a 9 x 12 baking dish until it flakes easily with a fork, about 10 minutes. Once the patties are formed, spray with olive oil and bake them in the oven until crisp, about 5 to 6 minutes on each side.']",American,"Dinner, Lunch"
Crispy Butter Beans,"['Beans▢ 15 oz can  butter beans, drained and pat dry, liquid reserved (or gigante beans)▢ 2 teaspoons olive oil▢ 1/2 teaspoon kosher salt, divided▢ 1/2 teaspoon onion powder, divided▢ 1/4 teaspoon smoked paprika▢ coarse sea salt, to finish', 'Green Dipping Sauce (Makes 1 1/2 cups)▢ 2 cups parsley, chopped▢ 1/2 cup mint, chopped▢ Zest of  1 lemon▢ 1/4 cup lemon juice▢ 1/4 teaspoon red chili flake▢ 1 tablespoon extra olive oil']",5,"['Dry the beans well on paper towels until completely dried.In a medium bowl, toss beans with 2 teaspoons olive oil, 1/4 teaspoon kosher salt, 1/4 teaspoon of the onion powder and smoked paprika.Transfer to the air fryer basket and air fry 380F for 15 minutes, shaking the basket every 5 minutes. When done, finish with sea salt.While the beans cook, make the dipping sauce. Combine 1/3 cup of the bean liquid, parsley, mint, lemon zest, lemon juice, remaining 1 tablespoon olive oil, remaining 1/4 teaspoon onion powder and remaining 1/4 teaspoon salt in a blender.Blend until smooth. Transfer to a small bowl & top with chili flakes.Serve the roasted beans with green dipping sauce.', 'Oven Method: (Not as crispy as the air fryer)If baking in the oven instead, preheat the oven to 400°F. Be sure your beans are very dry (it helps if you leave them on the counter a few hours before baking.) Transfer the beans to a parchment-lined baking sheet in a single layer (you may need to use more than one pan or bake in batches), and bake for 20 to 28 minutes, stirring half way or until the beans are crisp and golden.']",American,"Appetizer, Snack"
Green Shakshuka,"['▢ 1 tablespoon olive oil, divided▢ 2 heaping cups  mixed mushrooms, chopped*▢ 1 teaspoon salt, divided▢ 1 cup leek, white part only chopped (from 3 medium)▢ 1 cup asparagus, bottoms trimmed, chopped▢ 1 cup peas, blanched (see notes)▢ 1 cup vegetable broth▢ 6 eggs▢ 3 tablespoons feta, crumbled▢ Za’atar or black pepper']",15,"['Heat half of the oil In a large skillet over medium heat, add mushrooms and ¼ teaspoon of salt. Cook mushrooms for 7-10 minutes, stirring every 2 minutes to allow the edges to evenly caramelize. Remove from the pan.Add the remaining oil, leeks and ¼ teaspoon of salt to the same pan and cook until aromatic, about 3 minutes.Add asparagus, mix to combine and cover to steam, 4-5 mins.While asparagus steams, blend peas, veggie broth and ¼ teaspoon salt in a high speed blender until smooth.Return mushrooms to pan, add pea broth & stir to combine. Allow the broth to slightly reduce.Make 6 holes and gently drop in the eggs, keeping the yolks intact; sprinkle eggs with remaining ¼ teaspoon of salt.Cover and simmer on medium-low, 5 to 6 minutes, or until the egg whites are cooked through and no longer runny.Remove from the heat; top with feta and a sprinkle of za’atar.']",Middle Eastern,"Breakfast, Brunch, Dinner, Lunch"
Whole Wheat Irish Soda Bread Muffins,"['▢ baking spray▢ 1 cup white whole wheat flour▢ 1 cup unbleached all-purpose flour▢ 1/2 tsp baking powder▢ 1/2 tsp baking soda▢ 1/2 tsp kosher salt▢ 3 tbsp chilled salted butter▢ 1 cup 1% buttermilk▢ 3 tbsp honey or agave▢ 1 large  egg, beaten▢ 3 oz raisins, about 2/3 cup']",10,"['Preheat oven to 375°F. Spray muffin tin with baking spray.In a large bowl combine all dry ingredients (flour, baking powder, baking soda, and salt). Using a pastry cutter or two knives, cut in butter until mixture resembles coarse crumbs.In a small bowl, stir together buttermilk, honey (or agave) and egg until blended.Add buttermilk mixture to dry ingredients and stir to combine. Stir in raisins.Spoon batter into prepared pan.Bake 20 to 25 minutes, or until toothpick inserted in center of one muffin comes out clean.Remove tin and cool on a wire rack for about 5 minutes before removing muffins from tin; finish cooling on rack.Serve warm or cool completely and store muffins in an airtight container or ziplock bags at room temperature.']",American,"Breakfast, Brunch, Snack"
Avocado Egg Salad,"['▢ 4 large hard-boiled eggs, chopped▢ 4 large hard boiled egg whites, chopped (save the extra yolk for another use)*▢ 1 medium  hass avocado, cut into 1/2-inch pieces▢ 1 tbsp light mayonnaise, for Whole30 use compliant mayo▢ 1 tbsp fat free plain yogurt, for Whole30/Paleo swap with more mayo▢ 1/2 tablespoon finely chopped chives▢ 2 teaspoons red wine vinegar▢ 1/2 tsp Kosher salt▢ pinch freshly ground pepper']",15,"['Combine the egg yolks with the avocado, light mayo, yogurt, chives, vinegar, salt and pepper in a medium bowl.Mash with a fork.Combine with egg whites and adjust salt as needed.']",American,"Lunch, Salad"
Slow Cooker Chicken and Lentil Soup,"['▢ 1 pound dried lentils, green or brown▢ 6 (about 24 ounces) boneless skinless chicken thighs, all fat trimmed (or use chicken breast)▢ 2 (32 ounces each) cartons chicken broth▢ 1 10-oz  can Rotel diced tomatoes▢ 1 1/2 cups carrots, diced▢ 1/4 cup sofrito, my recipe▢ 1 teaspoon turmeric▢ 1 teaspoon cumin▢ 1/2 teaspoon Adobo seasoning▢ 1/2 teaspoon kosher salt and black pepper, to taste']",15,"['Dump all the ingredients in a 6-quart slow cooker and cook on high 4 hours or low 8 hours.Shred the chicken with 2 forks.Adjust salt and seasoning to taste, as needed.']",American,"Dinner, main dish, Meal Prep"
Crock Pot Corned Beef and Cabbage,"['▢ 2 lbs lean corned beef brisket, fat trimmed▢ 1 cup frozen pearl onions▢ 2 medium  carrots, peeled and cut into chunks▢ 2 medium  parsnips, peeled and cut into chunks▢ 1 small  head cabbage, cut into 6 wedges▢ 1/4 cup chopped fresh parsley▢ 2 bay leaves▢ 1/8 tsp whole peppercorns, or spice mix if it comes with one']",10,"['In a 5-6 qt crock pot, place brisket, carrots, parsnips, pearl onions, parsley, bay leaves, peppercorns and 3 cups of water.Cover and cook on high 4 hours.Add cabbage, cook on high 1 hour 20 minutes more, until tender.Remove meat, and let it rest for 5 minutes. Then slice and serve with Cauliflower Puree\xa0or\xa0Buttermilk Mashed Potatoes. Enjoy!']","American, Irish",Dinner
Bloody Mary Deviled Eggs,"['▢ 4 large hard boiled eggs▢ 2 tablespoons light mayonnaise▢ 1 teaspoon Dijon mustard▢ ½ teaspoon cornichon pickle juice▢ ¼ teaspoon kosher salt▢ ⅛ teaspoon black pepper▢ 2-3 tablespoons Old bay seasoning▢ 2 slices turkey bacon▢ 4 cornichon, halved▢ 1 stalk celery, thinly sliced']",15,"['Hard boil the eggs using this stove top hard boiled eggs recipe or this instant pot hard boiled eggs recipe.While the eggs cook, saute the bacon in a skillet until crisp. Set aside on paper towels.Peel and cut the eggs in half lengthwise. Remove yolks and put them in a bowl.Sprinkle the old bay on a plate & dip the flat surface of each egg white in the seasoning or just sprinkle on top.Add mayonnaise, mustard, pickle juice, salt and pepper to the yolks and mash.Transfer the yolk mixture\xa0to a plastic bag, snip the corner and pipe into the egg whites.Top eggs with a torn piece of turkey bacon, half a pickle & a slice of celery.']",American,Appetizer
Shrimp Stir Fry,"['▢ 2 tablespoons water▢ 1 tablespoon cornstarch▢ 1/4 cup low-sodium soy sauce, or gluten-free tamari▢ 2 tablespoons rice vinegar▢ 1 tablespoon brown sugar▢ 1 tablespoon minced ginger or garlic, or both▢ 2 teaspoons sriracha, optional▢ 1 tablespoon sesame oil or vegetable oil▢ 1 1/4 pounds peeled large shrimp, patted dry▢ 8 ounces asparagus cut into 1-inch pieces, or snow peas▢ 1 large red bell pepper, cut in 1-inch pieces▢ 2 cups cooked rice▢ 1 teaspoon toasted sesame seeds for serving']",5,"['To make the sauce, whisk the water and cornstarch in a small bowl until smooth. Add the soy sauce, rice vinegar, brown sugar, ginger, and sriracha (if using). Set aside.In a large deep skillet or wok, heat the oil over high heat until it shimmers and is nearly smoking. Add the shrimp, in a single layer if possible, and cook, stirring occasionally, for 2 minutes, or until they’re mostly pink (they’ll finish cooking in the remaining steps).Add the asparagus and red bell peppers and stir fry for 1 minute.Pour in the sauce, stir to coat, and cook until the sauce is glossy and starting to thicken, 30 seconds to 1 minute.Serve with cooked rice and sprinkle with sesame seeds just before serving.']",Asian,Dinner
